,title,subtitle,link
47,NUMBERS GAME,"Staggering price of pints, World Cup final tickets and England shirts revealed",https://www.thesun.co.uk/sport/20003541/world-cup-2022-numbers-prize-money-qatar-stadiums/
48,MADD TO IGNORE,Maddison blows all England rivals out of water with stunning Leicester stats,https://www.thesun.co.uk/sport/20001859/james-maddison-england-stats-leicester-saka-foden-mount/
49,CREDIT WHERE IT'S JU,"Rio: Bellingham's better than Gerrard, Lampard, Scholes & Keane at 19",https://www.thesun.co.uk/sport/20028419/jude-bellingham-rio-ferdinand-better-gerrard/
50,SIL GOT IT,Zlatan posts cryptic message as he hangs out with old Milan pal Berlusconi,https://www.thesun.co.uk/sport/20013413/ac-milan-zlatan-ibrahimovic-silvio-berlusconi/
51,LION SHARE,England boss Southgate urges aces to stand up to pressure and 'take ownership',https://www.thesun.co.uk/sport/20007796/england-gareth-southgate-2022-world-cup-qatar/
52,BEST OF THE REST,Ten best players never to have won the World Cup including Ronaldo & Messi,https://www.thesun.co.uk/sport/20000568/qatar-world-cup-cristiano-ronaldo-messi-best/
53,DURAN THE MAN,Liverpool ‘send scout who recommended Diaz to follow Chicago Fire wonderkid’,https://www.thesun.co.uk/sport/19992726/liverpool-transfer-jhon-duran-chicago-fire/
54,RON ON HIS,Ronaldo offered Man Utd exit with Galatasaray set to go all out for January deal,https://www.thesun.co.uk/sport/20023760/cristiano-ronaldo-man-utd-transfer-exit-galatasaray/
55,SESK APPEAL,Man Utd scouts 'impressed' by Sesko as they target as Ronaldo replacement,https://www.thesun.co.uk/sport/20021106/benjamin-sesko-man-utd-transfer/
56,BLANK CHIC,Suarez 'set to join LA Galaxy and become highest earner ahead of Chicharito,https://www.thesun.co.uk/sport/20010948/suarez-la-galaxy-transfer-man-utd-hernandez/
57,THE GRIE-L DEAL,Barcelona 'agree to sell Griezmann to Atletico for half of bizarre clause',https://www.thesun.co.uk/sport/20020394/barcelona-sell-antoine-griezmann-atletico-madrid-transfer-clause/
58,FOOTBALL LATEST,"Haaland 'on nearly £1MILLION per week', Hakim Ziyech urged to leave Chelsea",https://www.thesun.co.uk/sport/19994688/football-news-live-erling-haaland-hakim-ziyech-chelsea-transfer/
59,UNITED NEWS,Milinkovic-Savic urged to SNUB Red Devils as Ronaldo offered Galatasaray ESCAPE,https://www.thesun.co.uk/sport/19994861/man-utd-news-live-ronaldo-milinkovic-savic-ten-hag-transfer/
60,GUNNERS LIVE,"Saliba contract latest, Gunners could BID for Taremi, Europa League reaction",https://www.thesun.co.uk/sport/19993834/arsenal-news-live-saliba-contract-taremi-porto-arteta/
61,MARK IRWIN,Squeaky bum time for Klopp as Liverpool face being out of title race by October,https://www.thesun.co.uk/sport/20030997/liverpool-premier-league-title-race-sports-column/
62,KARREN BRADY,We don't need ‘football regulator’… we are better off the Wembley way,https://www.thesun.co.uk/sport/19971519/karren-brady-labours-football-regulator-fa/
63,TROY DEENEY,Bellingham should snub Liverpool to be Madrid superstar… & next England captain,https://www.thesun.co.uk/sport/19972529/troy-deeney-jude-bellingham-liverpool-real-madrid-england/
64,WANDA-FUL,Wanda wears daring see-through onesie for TV show as she gives fans an eyeful,https://www.thesun.co.uk/sport/20017513/wanda-nara-onesie-tv-show-mauro-icardi/
65,GREALS OF STEEL,Jack Grealish reveals he is learning to become a DJ and shares new nickname,https://www.thesun.co.uk/sport/20015911/jack-grealish-love-island-josh-denzel-manchester-city/
66,TV GOLD,"Legend played at 2002 World Cup, scored this year in Europa League & hosts TV show",https://www.thesun.co.uk/sport/19993480/world-cup-joaquin-europa-league-real-betis/
67,PRICEY PINT,"I was charged £435 for pint of beer while watching West Ham, says footy fan",https://www.thesun.co.uk/sport/20008331/expensive-pint-west-ham-overdraft/
68,GAL POWER,Gallagher's stunning model Wag 'so proud' of Chelsea star after first Blues goal,https://www.thesun.co.uk/sport/19983721/conor-gallagher-stunning-model-wag-chelsea-goal/
69,BLUES BROTHERS,Fixtures suggest more Dream Team points ahead for Reece James,https://www.thesun.co.uk/sport/football/dream-team/20028130/chelsea-reece-james-thiago-silva-fantasy-football-defenders/
70,PLAY NOW,Dream Team's October monthly competition gets underway soon - PS5 up for grabs!,https://www.thesun.co.uk/sport/football/dream-team/20003256/monthly-competition-prize-playstation-5-fantasy-football-october/
71,SCARY GOOD,5 players with the potential to amass HUGE Dream Team points throughout October,https://www.thesun.co.uk/sport/football/dream-team/19955377/5-players-october-fantasy-football-premier-league-tips/
